username,tweet,remove_user,value,,,,
p49820494,@linkaja Di pandemi gini buat keluar kemana-mana itu susah mau ga mau tetep harus keluar.Tapi setelah tau fitur ewallet salah satunya @linkaja akhirnya buat beli perlengkapan sekolah lainÂ² berlangganan di aplikasi belajar jadi lebih mudah #lengkapnyauntu, Di pandemi gini buat keluar kemana-mana itu susah mau ga mau tetep harus keluar.Tapi setelah tau fitur ewallet salah satunya  akhirnya buat beli perlengkapan sekolah lainÂ² berlangganan di aplikasi belajar jadi lebih mudah #lengkapnyauntuksemua #pengalamanbaru,positif,,,,
desty007,@gowjek Selama masa pandemi ini saya sudah males banget transaksi dengan uang tunai sekarang lebih andalkan e-wallet buat semua aktivitas. Dari naik KRL bayar ojek online jajan di mall sampai beli pulsa dan kuota selalu gunakan ewallet. Kalian juga gak? B, Selama masa pandemi ini saya sudah males banget transaksi dengan uang tunai,,,,,
bimaswr,@maricyaaahhh pandemi tidak menghalangi thr fren sedia ovo dana shopeepay gopay tinggal milih wes, pandemi tidak menghalangi thr fren,, gopay, tinggal milih wes;positif,,
katadatacoid,Masyarakat beralih ke layanan digital saat pandemi corona salah satunya pembayaran non-tunai. @ShopeePay_ID @ovo_id dan @danawallet mencatatkan lonjakan jumlah pengguna hingga 267%.   https://t.co/6InMXemmgr,Masyarakat beralih ke layanan digital saat pandemi corona,,,,,
idwartajateng,@tiket dan @ShopeePay_ID bekerja sama memberi kemudahan bagi para pengguna merencanakan liburan yang aman dan nyaman di tengah pandemi. #wartajateng    https://t.co/uUu3nuDFWN, dan @ShopeePay_ID bekerja sama memberi kemudahan bagi para pengguna merencanakan liburan yang aman dan nyaman di tengah pandemi. #wartajateng    https://t.co/uUu3nuDFWN,positif,,,,
alraiueo,@ShopeeCare salah dua2nya min ğŸ˜€ buktinya saya selalu bayar tagihan tepat waktu aktif pake shopeepay sama paylater juga. tp akun saya udah masuk setahun limitnya dibikin jd 0 ga dibalik2in sampe skrg alasannya gara2 pandemiğŸ˜„ğŸ¤­, salah dua2nya min ğŸ˜€ buktinya saya selalu bayar tagihan tepat waktu,,,,,
tomioo_,@ShopeePay_ID Semenjak pandemi aku harus lebih cermat dalam berbelanja. Untung ada promo Voucher ShopeePay Rp 1 nih. Bayar kebutuhan belanja tinggal scan tanpa tunai. Jadi kebutuhan dapur tetap aman dan juga hemat #ShopeeSMS #FotoMantulSale @hermavvan @ad, Semenjak pandemi aku harus lebih cermat dalam berbelanja. Untung ada promo Voucher ShopeePay Rp 1 nih. Bayar kebutuhan belanja tinggal scan tanpa tunai. Jadi kebutuhan dapur tetap aman dan juga hemat #ShopeeSMS #FotoMantulSale @hermavvan @adeSur9 @SimonJufr  https://t.co/wY9BP4uLZY,positif,,,,
hetty_ke,@ShopeeID selama pandemi jadi suka blnja online khususnya di shopee krn ada gratis ongkir n gampang byrnya pke shopeepay dpt potongan lg enak deh pokoknya blnja di shopee puas bgtt, selama pandemi jadi suka blnja online khususnya di shopee krn ada gratis ongkir n gampang byrnya pke shopeepay dpt potongan lg enak deh pokoknya blnja di shopee puas bgtt,positif,,,,
yocipaa,@bintangemon temen kos pernah pinjem 100k krn keburu pandemi jd balikinnya mau ditransfer tp ternyata beda bank. akhirnya aku suruh buat top up shopeepay aja di alfamart biar gada biaya admin wkwk, temen kos pernah pinjem 100k krn keburu pandemi jd balikinnya mau ditransfer tp ternyata beda bank. akhirnya aku suruh buat top up shopeepay aja di alfamart biar gada biaya admin wkwk,positif,,,,
adikaraputra,Mau verifikasi akun @ShopeePay_ID ditolak karena KTP rusak karena ada cuil akibat dulu sempat tercuci di mesin cuci. Mau benarkan KTP ya takut masa pandemi gini. Padahal OVO Premier GoPay Plus lolos saja. Berarti tidak berjodoh dengan @ShopeeID jodohnya dgn e-commerce lainnya,Mau verifikasi akun  ditolak karena KTP rusak karena ada cuil akibat dulu sempat tercuci di mesin cuci. Mau benarkan KTP ya takut masa pandemi gini. Padahal OVO Premier,,,,,
falsegodamn,@ShopeePay_ID min sya gapernah telat bayar transaksi sya udah ditingkatkan ampe jadi gold dari awal pandemi sampe skrg akun sya masih belom bisa dipakai spaylater nya padahal temen yg lain yg average transaksi dibawah sya udah pada aktif., min sya gapernah telat bayar,,,,,
hellovejk,@tanyainrl 6k doang anjrt  semenjak pandemi gni gue lebih sring nyimpen duit di gopay ovo shopeepay :((, 6k doang anjrt ,,,,,
1stheya,@subschfess Uang nder ğŸ˜­ğŸ‘ pandemi ginikan mending pkek ovo/tf/shopeepay hikd, Uang nder ğŸ˜­ğŸ‘ pandemi ginikan mending pkek ovo/tf/shopeepay hikd,positif,,,,
yeppeodoy,@ShopeeID Min banyakin gratis ongkir COD dong minlagi pandemi gini susah buat isi shopee pay atau bayar via bank atau supermarket.lebih nyaman COD, Min banyakin gratis ongkir COD dong min,,,,,
midtrans_com,@ShopeePay_ID jadi salah satu e-wallet yang paling banyak dipilih pembeli selama pandemi (*riset @MarkPlus_Inc dan @Ipsos_Indonesia).  Tambahkan metode pembayaran ShopeePay di toko online Anda aktivasi cepat dan mudah lewat Midtrans!  https://t.co/mr9Jtzn, jadi salah satu e-wallet yang paling banyak dipilih pembeli selama pandemi (*riset @MarkPlus_Inc dan @Ipsos_Indonesia).  Tambahkan metode pembayaran ShopeePay di toko online Anda,,,,,
 ,Citilink dan ShopeePay Wujudkan Penerbangan Aman dan Terjangkau di Masa Pandemi  https://t.co/EffQLdJT0L via @indoict,Citilink dan ShopeePay Wujudkan Penerbangan Aman dan Terjangkau di Masa Pandemi  https://t.co/EffQLdJT0L via ,positif,,,,
ak63____,@ShopeeID saya mau tanya kenapa ya shopee pay latter saya dari awal pandemi sampai sekarang masih di 0 kan?? Padahal banyak akun teman saya justru pay latter nya sudah ditambahkan malahan limit nya. Dan tidak di 0 kan sedangkan akun saya masih di 0 kan, saya mau tanya kenapa ya shopee pay latter saya dari awal pandemi sampai sekarang masih di 0 kan?? Padahal banyak akun teman saya justru pay latter nya sudah ditambahkan malahan limit nya. Dan tidak di 0 kan,,,,,
ta_anta97,@ShopeeCare Hujan dimasa pandemi kita susah2 cari uang dimasa pandemi eh pas mau order barang di shopee pake shopeepay isi saldo gk masuk2. Udah hampir 1x24. ğŸ˜ŒğŸ˜Œ, Hujan dimasa pandemi,,,,,
billlilipaly,@DamriIndonesia tahun 2020 dan lagi pandemi begini DAMRI ga bisa pembayaran pake LinkAja maupun kartu debit. Apalagi Gopay OVO Dana Shopeepay dll. Cuma menerima cash. PANDEMI LOH WOY PANDEMI. Please banget ga ngerti lagi.   Lokasi: Terminal 3 Soetta, tahun 2020 dan lagi pandemi begini,, Shopeepay dll. Cuma menerima cash. PANDEMI LOH WOY PANDEMI. Please banget ga ngerti lagi.   Lokasi: Terminal 3 Soetta;positif,,,
shopeecare,@dayyysixx Mimin bantu infoin yah terkait limit SPL kamu ada ketentuan baru dari shopee terkait limit SPL  karena masa pandemi COVID-19 tapi tenang kak secepatnya bakal diinfoin lagi terkait limit shopee pay latter kamu yah kuy tingkatin lagi belanja kamu, Mimin bantu infoin yah terkait limit SPL kamu,, secepatnya bakal diinfoin lagi terkait limit shopee pay latter kamu yah, kuy tingkatin lagi belanja kamu :)^BB;negatif,,
iyaainiakuhehe,@masmasjawabgt Shopeepay si ka soalny lagi pandemi gini semua kebutuhan ada disana jadi lebih mudah aja tanpa harus keluar rumah, Shopeepay si ka soalny lagi pandemi gini semua kebutuhan ada disana jadi lebih mudah aja tanpa harus keluar rumah,positif,,,,
udoyudoy,@siriusish Selama pandemi sering banget diskon apalagi pake tumbler tambah shopee pay roti2nya kadang beli 1 gratis 1 lagi, Selama pandemi sering banget diskon apalagi pake tumbler,,,,,
intrvtgirl,@nadilaafff @duhthere @Farradlr @rlthingy Valid selama pandemi cicilan shopee pay later me telat terus.. Mana di telponin terus bunga juga naik pusing banget wkwkwkw, @duhthere @Farradlr @rlthingy Valid,,,,,
fadlunrahman,Traktir teman sekarang jadi lebih murah berkat promo Rp 1 dari @ShopeePay_ID sangat terbantu banget di masa pandemi begini karena bisa menghemat pengeluaran â¤ #SemuaRp1Â  #ShopeePayRp1  https://t.co/dVPmZnpxuR,Traktir teman sekarang jadi lebih murah berkat promo Rp 1 dari  sangat terbantu banget di masa pandemi begini karena bisa menghemat pengeluaran â¤ #SemuaRp1Â  #ShopeePayRp1  https://t.co/dVPmZnpxuR,positif,,,,
exta_zee,Udah paling bener jajan hemat di masa pandemi beli burger sama ayam di @BurgerKing_ID bayarnya pake @ShopeePay_ID . 2item only 22k (include tax) dpt kesbek 15K! Happiness ğŸ˜˜  https://t.co/xSklyiVFJG,Udah paling bener jajan hemat di masa pandemi,,,,,
fiqrinugraha9,Tips berhemat saat pandemi seperti Ini mending belanja Dishopee aja deh super hemat banyak diskon dan selalu ada gratis ongkir dan pastinya ga perlu keluar rumah bisa menggunakan metode Cod. @ShopeeID @ShopeePay_ID #ShopeePayRp1 #semuarp1   https://t.co/BUaWjhpPyI  https://t.co/qPwsx6oR1F,Tips berhemat saat pandemi seperti Ini mending belanja Dishopee aja deh super hemat banyak diskon dan selalu ada gratis ongkir dan pastinya ga perlu keluar rumah,,,,,
mothefuxxa,@banjarbase rasanya pas pandemi fitur shopee pay di nonaktifkan shopee dulu, rasanya pas pandemi fitur shopee pay di nonaktifkan shopee dulu,negatif,,,,
callubyminee,@sukaaskincare @discountfess barusan aku dm dan si admin ig juga minta kronologinya. Gara2 gabisa pake shopeepay karna belanjaan gak nyampe 50k sampe gajadi beli padahl lagi pandemi gini dianjurin cashless lohğŸ˜¤, @discountfess barusan aku dm,,,,,
katadatacoid,Riset Snapcart dan MarkPlus menunjukkan bahwa ShopeePay lebih banyak digunakan selama pandemi corona dibandingkan @gopayindonesia dan @ovo_id.   https://t.co/m06qHMAziE,Riset Snapcart dan MarkPlus menunjukkan bahwa ShopeePay lebih banyak digunakan selama pandemi corona,,,,,
natt4a,@yessiwardhani_ Selama pandemi ini Monami kalo di atas jam 7 malem diskon 50%. Plus ada lagi cashback kalo pake shopeepay. Ku bahagia., Selama pandemi ini,,,,,
renebaejh1,@jntexpressid SEBENTAR LAGI AKU BAKAL ULTAH DAN SIDANG JUGA WISUDA ONLINE KAK SEDIH DI PANDEMI SEPERTI INI GAK ADA TEMEN YG BISA NGERAYAIN BARENG. JADI PENGEN GUNAIN SHOPEE PAY BUAT CELEBRATE DENGAN BELANJAIN KELUARGA SEBAGAI HADIAH DARI BELANJA DI SHOPEE, SEBENTAR LAGI AKU BAKAL ULTAH DAN SIDANG JUGA WISUDA ONLINE KAK,,,,,
yohanaenset,@jntexpressid Kalo dapat shopeepay buat beli baju untuk ngantor. Sejak pandemi gak pernah ke mall. Enakan beli online aja #HBDJNT, Kalo dapat shopeepay buat beli baju untuk ngantor. Sejak pandemi gak pernah ke mall. Enakan beli online aja #HBDJNT,positif,,,,
dianravi,Selama masa pandemi ngapain aja? Ngenalin suami ke @ShopeeID ğŸ˜† mulai dari main gamesnya sekarang udah ikutan jajan via Shopee juga. Tinggal ngenalin ke Shopeepay,Selama masa pandemi ngapain aja? Ngenalin suami ke  ğŸ˜† mulai dari main gamesnya,,,,,
irfansuryasptra,Dear @alfamart Alfaexpress stasiun pondokranji tidak bisa bayar pakai shopeepay. Dengan alasan sedang offline. hari ini pukul 13:20. Sejatinya cashless lebih aman di masa pandemi begini.,Dear  Alfaexpress stasiun pondokranji tidak bisa bayar pakai shopeepay. Dengan alasan sedang offline. hari ini pukul 13:20. Sejatinya cashless lebih aman di masa pandemi begini.,positif,,,,
brockhampton777,@bertanyarl shopeepay sm gopay sih sm m-banking sbg center wkwk gapernah narik cash selama covid sampe lupa rasanya megang uang kertas gimana menghadehğŸ˜­, shopeepay sm gopay sih sm m-banking sbg center wkwk,,,,,
depthonemiles,@blackrojse ga di bales menerima dana berupa saldo shopeepay ovo dan sejenisnya nomornya tetap sama guna mencegah penularan covid 19 ğŸ™‚, ga di bales,, guna mencegah penularan covid 19 ğŸ™‚;positif,,,
jhhjpjmiw,@yoonmarch_ iya emang ga pake uang tunai kan covid ngamplop nya bisa trf ovo gopay shopeepay link dana dll wkwk, iya emang ga pake uang tunai kan covid,, shopeepay, link, dana, dll wkwk;positif
urthaitea,@tanyainrl aku selalu pake shopeepay. aman aman aja si klo isi bisa di alfa/indomaret. skrg jg musim covid jd gausah berinteraksi sama kurir lg cmn klo isi saldo sekalian banyak aja biar ga bolak balik, aku selalu pake shopeepay. aman aman aja si,,,,,
outrotearo,@yoonmeowbit mau buat beli kuota hampir habis juga yah lagi gak boleh keluar karena covid berakhir beli pake pulsa lewat shopeepay :', mau buat beli kuota hampir habis juga yah lagi gak boleh keluar karena covid berakhir beli pake pulsa lewat shopeepay :',positif,,,,
itsdestan,@ShopeeID Kenapa limit shopee pay laterku masih 0 terus. Bilangnya penyesuaian karena covid. Tp limit temen temenku udh pada balik, Kenapa limit shopee pay laterku masih 0 terus. Bilangnya penyesuaian karena covid. Tp limit temen temenku udh pada balik,negatif,,,,
shopeepay_id,@devaraara @ShopeeID @ShopeeCare Halo kak Devara! duhh mimin minta maaf ya udah bikin kakak bingung :( Mimin infoin saat ini Shopee sdg mnjlnkan kebijakan sementara terkait Covid-19 yg mengakibatkan beberapa pengguna ShopeePayLater limitnya jd Rp. 0- . Mi, @ShopeeID @ShopeeCare Halo kak Devara! duhh mimin minta maaf ya udah bikin kakak bingung :( Mimin infoin saat ini Shopee sdg mnjlnkan kebijakan sementara terkait Covid-19 yg mengakibatkan beberapa pengguna ShopeePayLater limitnya jd Rp. 0,,,,,
simpkdy,@doy__bunny @ShopeeID iya yaa biasanya juga enggak :( mungkin karena covid orang2 banyak yg gabut trus ditambah ada shopeepay later trus freeong kan banyak yg berlaku buat shopeepay/later jadi kerjaannya checkout shopee:') wkwk just my opinion, @ShopeeID iya yaa biasanya juga enggak :( mungkin karena covid,,,,,
ooorangtua,@argganzaa @Rizkihadi Shopeepay later gw kenapa jadi 0 rupiah ya.. semenjak covid. Hahaha, @Rizkihadi Shopeepay later gw kenapa jadi 0 rupiah ya.. semenjak covid. Hahaha,negatif,,,,
aldi_tanaka,@GrabID Dimasa pandemi ini kebutuhan akan rekreasi menjadi salah satu hal wajib dan salah satunya berjalan2 ke mall. Jarak rumah yang jauh dari Mall mengharuskan aku naik GrabBike tapi kebayang kan kalo sehari harus bayar segini. Jadi #Bisalah dapat ovo s, Dimasa pandemi ini kebutuhan akan rekreasi menjadi salah satu hal wajib dan salah satunya berjalan2 ke mall. Jarak rumah yang jauh dari Mall mengharuskan aku naik GrabBike tapi kebayang kan kalo sehari harus bayar segini. Jadi #Bisalah dapat ovo sejuta untuk naik grab sepuasnya  https://t.co/HP8fieWK4i,positif,,,,
cacosyourbae,@GrabID Karna ga pernah WFH jd tiap hari harus ke kantor. Grab jadi alternatif bgt jd transportasi untuk ke kantor dan kemana pun selama pandemi ini. #Bisalah @GrabID ngasih saldo ovo points buat trip bolak balik kantor-rumah ğŸ˜ sisanya buat jajan di gr, Karna ga pernah WFH,,,,,
callmesopi,@radenrauf Cara menjaga kesehatan agar #SemuaTenangTerlindungi disaat pandemi seperti ini wajib banget patuhi protokol kesehatan dan jangan lupa berolahraga makan dan tidur yang teratur dan sekarang pakai OVO untuk pembayaran jadi lebih aman dan praktis, Cara menjaga kesehatan agar #SemuaTenangTerlindungi disaat pandemi seperti ini wajib banget patuhi protokol kesehatan dan jangan lupa berolahraga makan dan tidur yang teratur,,,,,
hkaitxt,@radenrauf Tentunya agar #SemuaTenangTerlindungi pas pandemi kayak gini patuh pada protokol kesehatan paling penting sih dan tentunya gak keluar rumah untuk beli makanan terutama kalau lagi puasa kan mager masak ya. Bayar pake OVO untuk pesen makanan adal, Tentunya agar #SemuaTenangTerlindungi pas pandemi kayak gini,,,,,
frhnkid,@radenrauf Cara jaga kesehatan agar #SemuaTenangTerlindungi  saat pandemi wajib patuhi protokol  dan  selalu menjaga kesehatanolahraga dan tidur teratur . Dan saat ini juga lebih sering transaksi pakai OVO buat order makanan. Aman dan praktis, Cara jaga kesehatan agar #SemuaTenangTerlindungi  saat pandemi wajib patuhi protokol  dan  selalu menjaga kesehatan,,,,,
dinindaaaaa,@AmaliaWinny @FOODFESS2 Selama pandemi aku menerima thr via saldo ovo gopay dana atau ga transfer kokğŸ™‚, @FOODFESS2 Selama pandemi aku menerima thr via saldo ovo,,,,,
utamiii18,@radenrauf @ovo_id Di masa pandemi gini cara jaga kesehatan agar #SemuaTenangTerlindungi itu istirahat yg cukup makan makanan yg bergizi hindari stress kurangi mobilitas dgn #DiRumahAja dan minum vitamin rutin tetap patuhi prokes serta transaksi cashless , @ovo_id Di masa pandemi gini,, kurangi mobilitas dgn #DiRumahAja dan minum vitamin rutin, tetap patuhi prokes serta transaksi cashless lebih aman dengan ovo @ovo_id.;positif,,
ynt_99,@radenrauf @ovo_id Dimasa pandemi ini agar #SemuaTenangTerlindungi harus selalu menjaga imun tubuh dg olahraga + menaati prokes biar selalu prokes. Dan sekarang kalo mau pesen makan lewat online aja pake OVO, @ovo_id Dimasa pandemi ini agar #SemuaTenangTerlindungi harus selalu menjaga imun tubuh dg olahraga + menaati prokes biar selalu prokes. Dan sekarang kalo mau pesen makan lewat online aja pake OVO,positif,,,,
riskiabdillah15,@radenrauf #SemuaTenangTerlindungi  Dibulan ramadhan ini dan dimusim pandemi ini perang OVO sangat penting karna menghindari kontak secara langsung atau bersentuhan intinya OVO sangat membantu, #SemuaTenangTerlindungi  Dibulan ramadhan ini dan dimusim pandemi ini perang OVO sangat penting,,,,,
deva26184793,@radenrauf Dimasa pandemi sekarang ini kesehatan paling penting. Wajib banget patuhi protokol kesehatan. Saat #dirumahsaja aku selalu transaksi apapun pake OVO dong cara nya mudah banget dan Aman #SemuaTenangTerlindungi, Dimasa pandemi sekarang ini kesehatan paling penting. Wajib banget patuhi protokol kesehatan. Saat #dirumahsaja aku selalu transaksi apapun pake OVO dong,,,,,
panas58782551,@radenrauf Ovo solusi terbaik di saat pandemi gini agar belanja kebutuhan ga perlu repot repot keluar rumah dan bertatap muka langsung. #SemuaTenangTerlindungi  kalau kita tetap mematuhi protokol kesehatan dan anjuran pemerintah, Ovo solusi terbaik di saat pandemi gini,,,,,
mbuhpiyemeneh,@radenrauf Yang penting jaga kesehatan diri sendiri dilingkungan keluarga dan luar lingkungan dimasa pandemi tidak lupa juga protokol kesehatan dengan OVO juga bisa nemudahkan transaksi tanpa uang cash :) jadi  #SemuaTenangTerlindungi, Yang penting jaga kesehatan diri sendiri,,,,,
yauwesrapopo,@radenrauf Pandemi gini harus jaga jarak dan gaboleh berkerumun apalagi berkerumun sama mantan ovo bener bener ngebantu diwaktu kelaperan dan juga untuk kesehatan bisa pake PRUTect Care cuma 5000 sebulan. Parkir aja 5000 ini di ovo dah bisa buat segalanya, Pandemi gini harus jaga jarak dan gaboleh berkerumun apalagi berkerumun sama mantan,,,,,
flowerahayu,@radenrauf lagi masa pandemi gini kesehatan nomor satu yang harus paling di jaga karena pandemi juga lebih sering bertransaksi pakai OVO dari mulai isi pulsa/token dan pesan makanan #SemuaTenangTerlindungi, lagi masa pandemi gini kesehatan nomor satu yang harus paling di jaga,,,,,
strprty,@VictoriaLonita Astaga ini banget tabungan kok kenceng banget turunnya setahun terakhir taunya pas dicek rinci isinya cuma top up ovo muluuu selama pandemi jd lebih sering GrabCar dan mesen makanan bangkeee, Astaga ini banget,, bangkeee;positif,,,
heialif,@JeniusConnect Rencana lebaran tahun kedua pandemi baiknya mengadopsi konsep Visa Contacless nirsentuh.  Dirayakan dg sederhana di rumah u/ kebaikan bersama. Bagi2 angpao ke ponakan lewat top up e-wallet Jenius. Hidup jadi lebih mudah sejak ada Jenius buk, Rencana lebaran tahun kedua pandemi,, bukan? #LakukanDenganCaramu #THRJenius;positif,,,
budi23663174,@linkaja Di saat pandemi coronasangat membantu sekali.karna lebih banyak untungnya di banding e-wallet lain. #lengkapnyauntuksemua, linkaja Di saat pandemi corona,,,,,
keikazuki2,@linkaja Selama pandemi ini memang e-wallet adalah jawaban untuk banyak transaksi. Linkaja adalah salah satu e-wallet favorit saya bagus untuk pekerja seperti saya. Ada banyak promo jadi berguna buat sekarang #LengkapnyaUntukSemua, Selama pandemi ini memang e-wallet adalah jawaban untuk banyak transaksi. Linkaja adalah salah satu e-wallet favorit saya,,,,,
ppatk,Hai FIUers! Podcast Jumatan hadir kembali bersama Presiden @ovo_id yang akan berbincang seru tentang kejahatan e-wallet di masa pandemi. Penasaran? langsung saja klik di sini  https://t.co/nQ0mLyVixi atau kunjung kanal PPATK Indonesia.  #ppatk #podcastJUMATAN  https://t.co/usz0e56TDb,Hai FIUers! Podcast Jumatan hadir kembali,,,,,
syalzadilla30,Mau tau ga e-wallet apa yang aku pake? Aku #PakeLinkAja buat semua transaksi yang aku lakukan transaksi apapun bisa dilakukan dengan hanya pake @LinkAja nih. Emang LinkAja #LengkapnyaUntukSemua sangat memudahkan apalagi dimasa pandemi ini yang mengharuskan jaga jarak.  https://t.co/Vjnq7odBLQ,Mau tau ga e-wallet apa yang aku pake? Aku #PakeLinkAja buat semua transaksi yang aku lakukan,,,,,
renny_wagia,Tapi gue suka simpan uang pake dompet digital / e-wallet.. kalo kalian mutualanku gimana??? gue sih #pakeLinkAja hobi belanja onlineku soalnya meningkat diera pandemi gini... kalian juga pake @linkaja gak nih??? #LengkapnyaUntukSemua,Tapi gue suka simpan uang pake dompet digital / e-wallet.. kalo kalian mutualanku gimana??? gue sih #pakeLinkAja hobi belanja onlineku soalnya meningkat diera pandemi gini... kalian juga pake  gak nih??? #LengkapnyaUntukSemua,positif,,,,
hafizhkun1,Pernah dikasih saran sama ibuk buat selalu sedekah harian. Dan karena masih pandemi yang gampang menular lewat ulang e-wallet jadi solusi.. Terima kasih @gojekindonesia @gopayindonesia @kitabisacom  https://t.co/A8qTAh3Wnb,Pernah dikasih saran sama ibuk buat selalu sedekah harian. Dan karena masih pandemi yang gampang menular lewat ulang,,,,,
